,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace,total_df,total_points,total_1stIn,total_2ndserve,total_1stWon,total_2ndWon,total_1st_perc,total_1st_win_perc,total_2nd_win_perc,aces_per_point,df_per_point
35299,1978-421,Canada Masters,Clay,48,M,19780814,47,100232,1.0,,Eddie Dibbs,R,170.0,USA,27.4715947981,100555,13.0,,Jose Luis Clerc,R,185.0,ARG,19.9945242984,5-7 6-4 6-1,3,F,,,,,,,,,,,,,,,,,,,,,,,,1978,1970s,,,,,,,,,,,,
35362,1978-422,Cincinnati Masters,Clay,64,M,19780710,63,100232,1.0,,Eddie Dibbs,R,170.0,USA,27.3757700205,100309,2.0,,Raul Ramirez,R,183.0,MEX,25.054072553,5-7 6-3 6-2,3,F,,,,,,,,,,,,,,,,,,,,6.0,0.0,7.0,0.0,1978,1970s,,,,,,,,,,,,
36171,1978-605,Masters,Carpet,8,M,19790110,5,100581,,,John McEnroe,L,180.0,USA,19.8986995209,100074,,,Arthur Ashe,R,185.0,USA,35.5044490075,6-7 6-3 7-5,3,F,,,,,,,,,,,,,,,,,,,,4.0,0.0,13.0,0.0,1978,1970s,,,,,,,,,,,,
39182,1979-416,Rome Masters,Clay,64,M,19790521,300,100342,2.0,,Vitas Gerulaitis,R,183.0,USA,24.8186173854,100282,1.0,,Guillermo Vilas,L,180.0,ARG,26.7570157426,6-7 7-6 6-7 6-4 6-2,5,F,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,1979,1970s,,,,,,,,,,,,
39434,1979-421,Canada Masters,Hard,64,M,19790813,63,100437,1.0,,Bjorn Borg,R,180.0,SWE,23.1841204654,100581,2.0,,John McEnroe,L,180.0,USA,20.4873374401,6-3 6-3,3,F,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,1979,1970s,,,,,,,,,,,,
39497,1979-422,Cincinnati Masters,Hard,64,M,19790820,300,100362,7.0,,Peter Fleming,R,196.0,USA,24.5776865161,100255,1.0,,Roscoe Tanner,L,183.0,USA,27.8466803559,6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,23.0,,5.0,,1979,1970s,,,,,,,,,,,,
41008,1979-605,Masters,Carpet,8,M,19800109,8,100437,,,Bjorn Borg,R,180.0,SWE,23.5920602327,100342,,,Vitas Gerulaitis,R,183.0,USA,25.4565366188,6-2 6-2,3,F,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,1979,1970s,,,,,,,,,,,,
43283,1980-416,Rome Masters,Clay,64,M,19800519,63,100282,1.0,,Guillermo Vilas,L,180.0,ARG,27.7535934292,100676,11.0,,Yannick Noah,R,193.0,FRA,20.0027378508,6-0 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,4.0,,24.0,,1980,1980s,,,,,,,,,,,,
43535,1980-421,Canada Masters,Hard,64,M,19800811,300,100656,4.0,,Ivan Lendl,R,188.0,USA,20.4298425736,100437,1.0,,Bjorn Borg,R,180.0,SWE,24.180698152,4-6 5-4 RET,3,F,,,,,,,,,,,,,,,,,,,,10.0,,2.0,,1980,1980s,,,,,,,,,,,,
43598,1980-422,Cincinnati Masters,Hard,64,M,19800818,63,100286,3.0,,Harold Solomon,R,168.0,USA,27.9178644764,100402,,,Francisco Gonzalez,R,193.0,PAR,24.7474332649,7-6 6-3,3,F,,,,,,,,,,,,,,,,,,,,7.0,,,,1980,1980s,,,,,,,,,,,,
