,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,decade,total_ace
48492,1981-580,Australian Open,Grass,64,G,19811224,63,100532,4.0,,Johan Kriek,R,175.0,USA,23.7207392197,100445,,,Steve Denton,R,188.0,USA,25.3004791239,6-2 7-6 6-7 6-4,5,F,,,,,,,,,,,,,,,,,,,,19.0,,54.0,,1981,1980s,
51821,1982-520,Roland Garros,Clay,128,G,19820524,127,101062,,,Mats Wilander,R,183.0,SWE,17.7522245038,100282,3.0,,Guillermo Vilas,L,180.0,ARG,29.7659137577,1-6 7-6 6-0 6-4,5,F,,,,,,,,,,,,,,,,,,,,18.0,,4.0,,1982,1980s,
51948,1982-540,Wimbledon,Grass,128,G,19820621,300,100284,2.0,,Jimmy Connors,L,178.0,USA,29.7987679671,100581,1.0,,John McEnroe,L,180.0,USA,23.3429158111,3-6 6-3 6-7 7-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,1982,1980s,
52075,1982-560,US Open,Hard,128,G,19820831,300,100284,2.0,,Jimmy Connors,L,178.0,USA,29.993155373,100656,3.0,,Ivan Lendl,R,188.0,USA,22.4832306639,6-3 6-2 4-6 6-4,5,F,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,1982,1980s,
52170,1982-580,Australian Open,Grass,96,G,19821202,95,100532,1.0,,Johan Kriek,R,175.0,USA,24.6598220397,100445,2.0,,Steve Denton,R,188.0,USA,26.2395619439,6-3 6-3 6-2,5,F,,,,,,,,,,,,,,,,,,,,12.0,,13.0,,1982,1980s,
55514,1983-520,Roland Garros,Clay,128,G,19830523,127,100676,6.0,,Yannick Noah,R,193.0,FRA,23.0116358658,101062,5.0,,Mats Wilander,R,183.0,SWE,18.7488021903,6-2 7-5 7-6,5,F,,,,,,,,,,,,,,,,,,,,6.0,,5.0,,1983,1980s,
55641,1983-540,Wimbledon,Grass,128,G,19830620,300,100581,2.0,,John McEnroe,L,180.0,USA,24.3394934976,100474,,,Chris Lewis,R,180.0,NZL,26.2806297057,6-2 6-2 6-2,5,F,,,,,,,,,,,,,,,,,,,,2.0,,,,1983,1980s,
55768,1983-560,US Open,Hard,128,G,19830830,300,100284,3.0,,Jimmy Connors,L,178.0,USA,30.9678302533,100656,2.0,,Ivan Lendl,R,188.0,USA,23.4579055441,6-3 6-7 7-5 6-0,5,F,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,1983,1980s,
55863,1983-580,Australian Open,Grass,96,G,19831129,300,101062,3.0,,Mats Wilander,R,183.0,SWE,19.266255989,100656,1.0,,Ivan Lendl,R,188.0,USA,23.7262149213,6-1 6-4 6-4,5,F,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,1983,1980s,
58919,1984-520,Roland Garros,Clay,128,G,19840528,127,100656,2.0,,Ivan Lendl,R,188.0,USA,24.205338809,100581,1.0,,John McEnroe,L,180.0,USA,25.2594113621,3-6 2-6 6-4 7-5 7-5,5,F,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1984,1980s,
